block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
403,YISHUN AVE 6,2020-02,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1988,67 years 09 months,333000.0,403 YISHUN AVENUE 6,"1.42693205, 103.84855318735396",0.024258303,1
403,YISHUN AVE 6,2020-03,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1988,67 years 08 months,270000.0,403 YISHUN AVENUE 6,"1.42693205, 103.84855318735396",0.024258303,1
403,YISHUN AVE 6,2020-06,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1988,67 years 08 months,280000.0,403 YISHUN AVENUE 6,"1.42693205, 103.84855318735396",0.024258303,1
403,YISHUN AVE 6,2020-07,YISHUN,4 ROOM,01 TO 03,84.0,Simplified,1988,67 years 04 months,285000.0,403 YISHUN AVENUE 6,"1.42693205, 103.84855318735396",0.024258303,1
403,YISHUN AVE 6,2020-07,YISHUN,4 ROOM,10 TO 12,84.0,Simplified,1988,67 years 04 months,283000.0,403 YISHUN AVENUE 6,"1.42693205, 103.84855318735396",0.024258303,1
403,YISHUN AVE 6,2020-08,YISHUN,4 ROOM,10 TO 12,104.0,Model A,1988,67 years 03 months,340000.0,403 YISHUN AVENUE 6,"1.42693205, 103.84855318735396",0.024258303,1
393,YISHUN AVE 6,2020-02,YISHUN,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 07 months,326888.0,393 YISHUN AVENUE 6,"1.4285368, 103.84849808051828",0.027683623,1
393,YISHUN AVE 6,2020-08,YISHUN,3 ROOM,10 TO 12,73.0,Model A,1988,67 years 01 month,265000.0,393 YISHUN AVENUE 6,"1.4285368, 103.84849808051828",0.027683623,1
393,YISHUN AVE 6,2020-08,YISHUN,4 ROOM,01 TO 03,108.0,Model A,1988,67 years 02 months,325000.0,393 YISHUN AVENUE 6,"1.4285368, 103.84849808051828",0.027683623,1
394,YISHUN AVE 6,2021-02,YISHUN,4 ROOM,10 TO 12,104.0,Model A,1989,67 years 06 months,376000.0,394 YISHUN AVENUE 6,"1.42887845, 103.84840048222337",0.041684717,1
408,YISHUN AVE 6,2020-03,YISHUN,4 ROOM,01 TO 03,84.0,Simplified,1988,67 years 04 months,280000.0,408 YISHUN AVENUE 6,"1.42624035, 103.848421140429",0.047613714,1
408,YISHUN AVE 6,2020-04,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1988,67 years 03 months,260000.0,408 YISHUN AVENUE 6,"1.42624035, 103.848421140429",0.047613714,1
390,YISHUN AVE 6,2020-03,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1988,67 years 06 months,247000.0,390 YISHUN AVENUE 6,"1.4292335, 103.84841175",0.048295673,1
390,YISHUN AVE 6,2020-08,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1988,67 years 01 month,295000.0,390 YISHUN AVENUE 6,"1.4292335, 103.84841175",0.048295673,1
390,YISHUN AVE 6,2020-11,YISHUN,4 ROOM,10 TO 12,84.0,Simplified,1988,66 years 10 months,325000.0,390 YISHUN AVENUE 6,"1.4292335, 103.84841175",0.048295673,1
390,YISHUN AVE 6,2020-12,YISHUN,4 ROOM,01 TO 03,84.0,Simplified,1988,66 years 09 months,285000.0,390 YISHUN AVENUE 6,"1.4292335, 103.84841175",0.048295673,1
407,YISHUN AVE 6,2021-01,YISHUN,4 ROOM,07 TO 09,84.0,Simplified,1988,66 years 05 months,339888.0,407 YISHUN AVENUE 6,"1.42590635, 103.84844735773234",0.053935558,1
407,YISHUN AVE 6,2021-01,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1988,66 years 04 months,325088.0,407 YISHUN AVENUE 6,"1.42590635, 103.84844735773234",0.053935558,1
389,YISHUN AVE 6,2020-03,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1988,67 years 02 months,300000.0,389 YISHUN AVENUE 6,"1.4295900000000001, 103.8482866",0.06427149,1
389,YISHUN AVE 6,2020-12,YISHUN,4 ROOM,04 TO 06,104.0,Model A,1988,66 years 05 months,330000.0,389 YISHUN AVENUE 6,"1.4295900000000001, 103.8482866",0.06427149,1
389,YISHUN AVE 6,2021-02,YISHUN,4 ROOM,01 TO 03,104.0,Model A,1988,66 years 04 months,350000.0,389 YISHUN AVENUE 6,"1.4295900000000001, 103.8482866",0.06427149,1
392,YISHUN AVE 6,2020-10,YISHUN,EXECUTIVE,10 TO 12,142.0,Apartment,1988,66 years 09 months,570000.0,392 YISHUN AVENUE 6,"1.4286672, 103.84919299029958",0.064605206,1
405,YISHUN AVE 6,2020-01,YISHUN,EXECUTIVE,10 TO 12,142.0,Apartment,1988,67 years 07 months,555888.0,405 YISHUN AVENUE 6,"1.42684315, 103.84927309687407",0.072544746,1
405,YISHUN AVE 6,2020-07,YISHUN,EXECUTIVE,01 TO 03,148.0,Maisonette,1988,67 years 02 months,540000.0,405 YISHUN AVENUE 6,"1.42684315, 103.84927309687407",0.072544746,1
391,YISHUN AVE 6,2020-01,YISHUN,EXECUTIVE,04 TO 06,146.0,Maisonette,1988,67 years 05 months,550000.0,391 YISHUN AVENUE 6,"1.42945585, 103.84916464789596",0.07273521,1
391,YISHUN AVE 6,2020-05,YISHUN,EXECUTIVE,10 TO 12,142.0,Apartment,1988,67 years 02 months,553000.0,391 YISHUN AVENUE 6,"1.42945585, 103.84916464789596",0.07273521,1
406,YISHUN AVE 6,2020-07,YISHUN,EXECUTIVE,01 TO 03,142.0,Apartment,1988,67 years 02 months,575000.0,406 YISHUN AVENUE 6,"1.4260438, 103.84930301398045",0.08480698,1
406,YISHUN AVE 6,2021-02,YISHUN,EXECUTIVE,10 TO 12,148.0,Maisonette,1988,66 years 08 months,655000.0,406 YISHUN AVENUE 6,"1.4260438, 103.84930301398045",0.08480698,1
424A,YISHUN AVE 11,2020-01,YISHUN,2 ROOM,07 TO 09,47.0,Model A,2015,95 years,232000.0,424A YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-01,YISHUN,2 ROOM,01 TO 03,47.0,Model A,2015,94 years 11 months,224500.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424A,YISHUN AVE 11,2020-02,YISHUN,3 ROOM,07 TO 09,67.0,Model A,2015,94 years 10 months,325000.0,424A YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424A,YISHUN AVE 11,2020-03,YISHUN,2 ROOM,01 TO 03,47.0,Model A,2015,94 years 09 months,235000.0,424A YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-03,YISHUN,2 ROOM,07 TO 09,47.0,Model A,2015,94 years 09 months,225000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-03,YISHUN,2 ROOM,10 TO 12,47.0,Model A,2015,94 years 09 months,225000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-03,YISHUN,2 ROOM,13 TO 15,47.0,Model A,2015,94 years 09 months,250000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-03,YISHUN,3 ROOM,07 TO 09,67.0,Model A,2015,94 years 10 months,295000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-03,YISHUN,3 ROOM,04 TO 06,67.0,Model A,2015,94 years 09 months,316000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424A,YISHUN AVE 11,2020-06,YISHUN,2 ROOM,01 TO 03,47.0,Model A,2015,94 years 07 months,215000.0,424A YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-07,YISHUN,2 ROOM,01 TO 03,47.0,Model A,2015,94 years 05 months,220000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424A,YISHUN AVE 11,2020-08,YISHUN,2 ROOM,01 TO 03,47.0,Model A,2015,94 years 04 months,240000.0,424A YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424A,YISHUN AVE 11,2020-08,YISHUN,3 ROOM,10 TO 12,67.0,Model A,2015,94 years 04 months,320000.0,424A YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-08,YISHUN,3 ROOM,01 TO 03,67.0,Model A,2015,94 years 05 months,300000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-09,YISHUN,3 ROOM,07 TO 09,67.0,Model A,2015,94 years 03 months,308000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-12,YISHUN,2 ROOM,10 TO 12,47.0,Model A,2015,94 years 01 month,252000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424B,YISHUN AVE 11,2020-12,YISHUN,2 ROOM,04 TO 06,47.0,Model A,2015,94 years 01 month,245000.0,424B YISHUN AVENUE 11,"1.4232151000000002, 103.84826425",0.12795416,1
424C,YISHUN AVE 11,2020-01,YISHUN,3 ROOM,07 TO 09,67.0,Model A,2015,94 years 11 months,290000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-01,YISHUN,3 ROOM,10 TO 12,67.0,Model A,2015,94 years 11 months,310000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-01,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 11 months,395000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-02,YISHUN,4 ROOM,01 TO 03,92.0,Model A,2015,94 years 10 months,327500.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-03,YISHUN,3 ROOM,10 TO 12,67.0,Model A,2015,94 years 09 months,303000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-05,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 08 months,397000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-07,YISHUN,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 05 months,326000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-07,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 06 months,400000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-08,YISHUN,3 ROOM,10 TO 12,67.0,Model A,2015,94 years 05 months,325000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-09,YISHUN,3 ROOM,01 TO 03,67.0,Model A,2015,94 years 04 months,290000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-09,YISHUN,4 ROOM,07 TO 09,92.0,Model A,2015,94 years 03 months,390000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-10,YISHUN,3 ROOM,04 TO 06,67.0,Model A,2015,94 years 03 months,300000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-10,YISHUN,3 ROOM,10 TO 12,67.0,Model A,2015,94 years 03 months,320000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2020-11,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,94 years 02 months,398000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
424C,YISHUN AVE 11,2021-02,YISHUN,3 ROOM,01 TO 03,67.0,Model A,2015,93 years 10 months,318000.0,424C YISHUN AVENUE 11,"1.4232429500000001, 103.84912907823653",0.13058631,1
423,YISHUN AVE 11,2020-02,YISHUN,4 ROOM,01 TO 03,104.0,Model A,1988,67 years 06 months,317000.0,423 YISHUN AVENUE 11,"1.4228304, 103.8482815196034",0.13702728,1
423,YISHUN AVE 11,2020-02,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1988,67 years 07 months,283000.0,423 YISHUN AVENUE 11,"1.4228304, 103.8482815196034",0.13702728,1
425,YISHUN AVE 11,2020-01,YISHUN,4 ROOM,07 TO 09,84.0,Simplified,1988,67 years 08 months,270000.0,425 YISHUN AVENUE 11,"1.4224023, 103.84829564911942",0.14748614,1
425,YISHUN AVE 11,2020-01,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1988,67 years 08 months,350000.0,425 YISHUN AVENUE 11,"1.4224023, 103.84829564911942",0.14748614,1
425,YISHUN AVE 11,2020-02,YISHUN,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 06 months,328000.0,425 YISHUN AVENUE 11,"1.4224023, 103.84829564911942",0.14748614,1
402,YISHUN RING RD,2020-02,YISHUN,3 ROOM,01 TO 03,74.0,Model A,1989,68 years 01 month,250000.0,402 YISHUN RING ROAD,"1.42649985, 103.84728324961472",0.15620258,1
402,YISHUN RING RD,2020-02,YISHUN,3 ROOM,10 TO 12,74.0,Model A,1989,68 years,256000.0,402 YISHUN RING ROAD,"1.42649985, 103.84728324961472",0.15620258,1
402,YISHUN RING RD,2020-03,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1989,67 years 11 months,325000.0,402 YISHUN RING ROAD,"1.42649985, 103.84728324961472",0.15620258,1
402,YISHUN RING RD,2020-12,YISHUN,3 ROOM,10 TO 12,74.0,Model A,1989,67 years 02 months,299000.0,402 YISHUN RING ROAD,"1.42649985, 103.84728324961472",0.15620258,1
402,YISHUN RING RD,2021-01,YISHUN,3 ROOM,04 TO 06,74.0,Model A,1989,67 years 02 months,304000.0,402 YISHUN RING ROAD,"1.42649985, 103.84728324961472",0.15620258,1
411,YISHUN RING RD,2020-11,YISHUN,4 ROOM,01 TO 03,105.0,Model A,1993,71 years 04 months,358000.0,411 YISHUN RING ROAD,"1.4254834, 103.8473393680985",0.15824734,1
411,YISHUN RING RD,2020-11,YISHUN,5 ROOM,04 TO 06,123.0,Improved,1993,71 years 05 months,460000.0,411 YISHUN RING ROAD,"1.4254834, 103.8473393680985",0.15824734,1
409,YISHUN RING RD,2020-08,YISHUN,3 ROOM,04 TO 06,74.0,Model A,1988,67 years 05 months,270000.0,409 YISHUN RING ROAD,"1.4261522000000002, 103.8472817",0.15857375,1
409,YISHUN RING RD,2020-09,YISHUN,3 ROOM,01 TO 03,74.0,Model A,1988,67 years 04 months,280000.0,409 YISHUN RING ROAD,"1.4261522000000002, 103.8472817",0.15857375,1
395,YISHUN RING RD,2020-03,YISHUN,4 ROOM,01 TO 03,104.0,Model A,1988,67 years 06 months,300000.0,395 YISHUN RING ROAD,"1.4288378, 103.847248431304",0.15930682,1
395,YISHUN RING RD,2020-07,YISHUN,4 ROOM,04 TO 06,104.0,Model A,1988,67 years 03 months,320000.0,395 YISHUN RING ROAD,"1.4288378, 103.847248431304",0.15930682,1
388,YISHUN RING RD,2020-10,YISHUN,4 ROOM,04 TO 06,84.0,Simplified,1988,66 years 08 months,265000.0,388 YISHUN RING ROAD,"1.429157, 103.84720547632364",0.1657354,1
387,YISHUN RING RD,2020-08,YISHUN,EXECUTIVE,10 TO 12,146.0,Maisonette,1988,66 years 11 months,550000.0,387 YISHUN RING ROAD,"1.429503, 103.84716897258937",0.1719783,1
387,YISHUN RING RD,2020-09,YISHUN,EXECUTIVE,04 TO 06,146.0,Maisonette,1988,66 years 09 months,555000.0,387 YISHUN RING ROAD,"1.429503, 103.84716897258937",0.1719783,1
419,YISHUN AVE 11,2020-01,YISHUN,5 ROOM,07 TO 09,122.0,Improved,1993,71 years 11 months,430000.0,419 YISHUN AVENUE 11,"1.42377865, 103.84736034921721",0.17849232,1
419,YISHUN AVE 11,2021-01,YISHUN,5 ROOM,01 TO 03,133.0,Model A,1993,70 years 11 months,478000.0,419 YISHUN AVENUE 11,"1.42377865, 103.84736034921721",0.17849232,1
412,YISHUN RING RD,2020-09,YISHUN,5 ROOM,01 TO 03,123.0,Improved,1993,71 years 05 months,418000.0,412 YISHUN RING ROAD,"1.4255852, 103.84700500394138",0.19234933,1
412,YISHUN RING RD,2020-10,YISHUN,5 ROOM,07 TO 09,123.0,Improved,1993,71 years 05 months,430000.0,412 YISHUN RING ROAD,"1.4255852, 103.84700500394138",0.19234933,1
426D,YISHUN AVE 11,2020-02,YISHUN,5 ROOM,07 TO 09,112.0,Improved,2015,94 years 01 month,485000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-03,YISHUN,5 ROOM,04 TO 06,112.0,Improved,2015,94 years 01 month,458000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-03,YISHUN,5 ROOM,01 TO 03,112.0,Improved,2015,94 years,460000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-04,YISHUN,5 ROOM,07 TO 09,112.0,Improved,2015,94 years,470888.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-06,YISHUN,5 ROOM,01 TO 03,112.0,Improved,2015,93 years 09 months,470000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-07,YISHUN,5 ROOM,07 TO 09,112.0,Improved,2015,93 years 09 months,505000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-07,YISHUN,5 ROOM,10 TO 12,112.0,Improved,2015,93 years 09 months,500000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-07,YISHUN,5 ROOM,07 TO 09,112.0,Improved,2015,93 years 08 months,505000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-07,YISHUN,5 ROOM,10 TO 12,112.0,Improved,2015,93 years 08 months,505000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-08,YISHUN,5 ROOM,04 TO 06,112.0,Improved,2015,93 years 07 months,480888.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-08,YISHUN,5 ROOM,04 TO 06,112.0,Improved,2015,93 years 07 months,460000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-09,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,93 years 07 months,410000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
426D,YISHUN AVE 11,2020-10,YISHUN,5 ROOM,10 TO 12,112.0,Improved,2015,93 years 06 months,495000.0,426D YISHUN AVENUE 11,"1.42312115, 103.84727492813002",0.19666894,1
428A,YISHUN AVE 11,2020-02,YISHUN,5 ROOM,10 TO 12,112.0,Improved,2015,94 years 01 month,498000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2020-06,YISHUN,4 ROOM,04 TO 06,92.0,Model A,2015,93 years 11 months,375000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2020-06,YISHUN,5 ROOM,10 TO 12,112.0,Improved,2015,93 years 11 months,510000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2020-08,YISHUN,5 ROOM,01 TO 03,112.0,Improved,2015,93 years 07 months,450000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2020-09,YISHUN,5 ROOM,13 TO 15,112.0,Improved,2015,93 years 08 months,528888.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2020-09,YISHUN,5 ROOM,13 TO 15,112.0,Improved,2015,93 years 06 months,525000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2020-10,YISHUN,5 ROOM,07 TO 09,112.0,Improved,2015,93 years 05 months,536500.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2020-12,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,93 years 04 months,400000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2021-01,YISHUN,5 ROOM,04 TO 06,112.0,Improved,2015,93 years 03 months,505000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428A,YISHUN AVE 11,2021-02,YISHUN,4 ROOM,07 TO 09,92.0,Model A,2015,93 years 02 months,430000.0,428A YISHUN AVENUE 11,"1.42253505, 103.84737688419425",0.19848855,1
428B,YISHUN AVE 11,2020-01,YISHUN,4 ROOM,04 TO 06,92.0,Model A,2015,94 years 02 months,385000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-01,YISHUN,5 ROOM,07 TO 09,112.0,Improved,2015,94 years 02 months,500000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-02,YISHUN,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 02 months,400000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-04,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,94 years,400000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-06,YISHUN,4 ROOM,04 TO 06,92.0,Model A,2015,93 years 11 months,390000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-06,YISHUN,4 ROOM,04 TO 06,92.0,Model A,2015,93 years 10 months,360000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-07,YISHUN,4 ROOM,04 TO 06,92.0,Model A,2015,93 years 09 months,360000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-08,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,93 years 07 months,390000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-09,YISHUN,4 ROOM,07 TO 09,92.0,Model A,2015,93 years 06 months,410000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-09,YISHUN,4 ROOM,07 TO 09,92.0,Model A,2015,93 years 06 months,412500.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2020-12,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,93 years 04 months,430000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
428B,YISHUN AVE 11,2021-01,YISHUN,4 ROOM,01 TO 03,92.0,Model A,2015,93 years 02 months,380000.0,428B YISHUN AVENUE 11,"1.4221285, 103.84735265195346",0.20804672,1
426C,YISHUN AVE 11,2020-02,YISHUN,4 ROOM,07 TO 09,92.0,Model A,2015,94 years 01 month,400000.0,426C YISHUN AVENUE 11,"1.4227712499999998, 103.8469826507458",0.2282412,1
426C,YISHUN AVE 11,2020-03,YISHUN,5 ROOM,01 TO 03,112.0,Improved,2015,94 years,440000.0,426C YISHUN AVENUE 11,"1.4227712499999998, 103.8469826507458",0.2282412,1
426C,YISHUN AVE 11,2020-08,YISHUN,4 ROOM,01 TO 03,92.0,Model A,2015,93 years 08 months,377000.0,426C YISHUN AVENUE 11,"1.4227712499999998, 103.8469826507458",0.2282412,1
426C,YISHUN AVE 11,2020-10,YISHUN,4 ROOM,10 TO 12,92.0,Model A,2015,93 years 06 months,384000.0,426C YISHUN AVENUE 11,"1.4227712499999998, 103.8469826507458",0.2282412,1
426C,YISHUN AVE 11,2020-11,YISHUN,4 ROOM,01 TO 03,92.0,Model A,2015,93 years 05 months,380000.0,426C YISHUN AVENUE 11,"1.4227712499999998, 103.8469826507458",0.2282412,1
426C,YISHUN AVE 11,2021-02,YISHUN,5 ROOM,10 TO 12,112.0,Improved,2015,93 years 02 months,538000.0,426C YISHUN AVENUE 11,"1.4227712499999998, 103.8469826507458",0.2282412,1
410,YISHUN RING RD,2020-04,YISHUN,5 ROOM,10 TO 12,122.0,Improved,1988,67 years 05 months,425000.0,410 YISHUN RING ROAD,"1.4263141, 103.84650112444683",0.24263816,1
410,YISHUN RING RD,2020-10,YISHUN,4 ROOM,07 TO 09,104.0,Model A,1988,66 years 11 months,351000.0,410 YISHUN RING ROAD,"1.4263141, 103.84650112444683",0.24263816,1
386,YISHUN RING RD,2020-03,YISHUN,4 ROOM,01 TO 03,104.0,Model A,1988,67 years 04 months,300000.0,386 YISHUN RING ROAD,"1.4289668999999998, 103.84645976447487",0.24646534,1
334D,YISHUN ST 31,2020-02,YISHUN,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 09 months,395000.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-02,YISHUN,4 ROOM,01 TO 03,92.0,Model A,2015,94 years 09 months,365000.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-04,YISHUN,4 ROOM,04 TO 06,92.0,Model A,2015,94 years 08 months,415000.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-04,YISHUN,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 08 months,402500.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-06,YISHUN,3 ROOM,13 TO 15,67.0,Model A,2015,94 years 06 months,331888.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-08,YISHUN,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 03 months,428000.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-08,YISHUN,4 ROOM,07 TO 09,92.0,Model A,2015,94 years 04 months,405000.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-08,YISHUN,4 ROOM,13 TO 15,92.0,Model A,2015,94 years 03 months,433000.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
334D,YISHUN ST 31,2020-09,YISHUN,3 ROOM,01 TO 03,67.0,Model A,2015,94 years 03 months,293000.0,334D YISHUN STREET 31,"1.4324192, 103.84653095514706",0.26722288,1
