block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
926,HOUGANG ST 91,2020-08,HOUGANG,4 ROOM,07 TO 09,100.0,Model A,1998,76 years 11 months,388000.0,926 HOUGANG STREET 91,"1.3761769, 103.88096238670641",0.056207918,1
926,HOUGANG ST 91,2020-11,HOUGANG,4 ROOM,10 TO 12,100.0,Model A,1998,76 years 09 months,408000.0,926 HOUGANG STREET 91,"1.3761769, 103.88096238670641",0.056207918,1
926,HOUGANG ST 91,2020-12,HOUGANG,4 ROOM,10 TO 12,101.0,Model A,1998,76 years 08 months,398000.0,926 HOUGANG STREET 91,"1.3761769, 103.88096238670641",0.056207918,1
926,HOUGANG ST 91,2021-02,HOUGANG,4 ROOM,01 TO 03,100.0,Model A,1998,76 years 06 months,380000.0,926 HOUGANG STREET 91,"1.3761769, 103.88096238670641",0.056207918,1
928,HOUGANG ST 91,2020-06,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1998,77 years 06 months,470000.0,928 HOUGANG STREET 91,"1.37659785, 103.88151620924077",0.0580308,1
928,HOUGANG ST 91,2020-07,HOUGANG,4 ROOM,07 TO 09,101.0,Model A,1998,77 years 03 months,372000.0,928 HOUGANG STREET 91,"1.37659785, 103.88151620924077",0.0580308,1
928,HOUGANG ST 91,2020-08,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1998,77 years 02 months,475000.0,928 HOUGANG STREET 91,"1.37659785, 103.88151620924077",0.0580308,1
928,HOUGANG ST 91,2020-09,HOUGANG,4 ROOM,10 TO 12,100.0,Model A,1998,77 years 02 months,399000.0,928 HOUGANG STREET 91,"1.37659785, 103.88151620924077",0.0580308,1
928,HOUGANG ST 91,2020-10,HOUGANG,5 ROOM,04 TO 06,120.0,Improved,1998,77 years,501000.0,928 HOUGANG STREET 91,"1.37659785, 103.88151620924077",0.0580308,1
928,HOUGANG ST 91,2020-11,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1998,77 years,520000.0,928 HOUGANG STREET 91,"1.37659785, 103.88151620924077",0.0580308,1
928,HOUGANG ST 91,2021-01,HOUGANG,5 ROOM,13 TO 15,120.0,Improved,1998,76 years 10 months,515000.0,928 HOUGANG STREET 91,"1.37659785, 103.88151620924077",0.0580308,1
980D,BUANGKOK CRES,2020-08,HOUGANG,5 ROOM,07 TO 09,110.0,Improved,2003,81 years 10 months,395000.0,980D BUANGKOK CRESCENT,"1.38045435, 103.88106734863834",0.062445395,1
980D,BUANGKOK CRES,2020-09,HOUGANG,4 ROOM,16 TO 18,90.0,Model A,2003,81 years 09 months,370000.0,980D BUANGKOK CRESCENT,"1.38045435, 103.88106734863834",0.062445395,1
980D,BUANGKOK CRES,2020-11,HOUGANG,5 ROOM,04 TO 06,110.0,Improved,2003,81 years 06 months,430000.0,980D BUANGKOK CRESCENT,"1.38045435, 103.88106734863834",0.062445395,1
980D,BUANGKOK CRES,2020-12,HOUGANG,5 ROOM,04 TO 06,110.0,Improved,2003,81 years 06 months,418000.0,980D BUANGKOK CRESCENT,"1.38045435, 103.88106734863834",0.062445395,1
980D,BUANGKOK CRES,2021-01,HOUGANG,5 ROOM,10 TO 12,110.0,Improved,2003,81 years 04 months,445000.0,980D BUANGKOK CRESCENT,"1.38045435, 103.88106734863834",0.062445395,1
976,HOUGANG ST 91,2020-02,HOUGANG,4 ROOM,04 TO 06,101.0,Model A,1999,78 years 09 months,395000.0,976 HOUGANG STREET 91,"1.3773423, 103.88039117797143",0.08673697,1
976,HOUGANG ST 91,2020-12,HOUGANG,4 ROOM,07 TO 09,101.0,Model A,1999,78 years,400000.0,976 HOUGANG STREET 91,"1.3773423, 103.88039117797143",0.08673697,1
976,HOUGANG ST 91,2020-12,HOUGANG,4 ROOM,01 TO 03,101.0,Model A,1999,78 years,377000.0,976 HOUGANG STREET 91,"1.3773423, 103.88039117797143",0.08673697,1
931,HOUGANG ST 91,2020-01,HOUGANG,4 ROOM,04 TO 06,100.0,Model A,1998,77 years 06 months,379000.0,931 HOUGANG STREET 91,"1.3755027000000002, 103.88063594220952",0.090422556,1
931,HOUGANG ST 91,2020-08,HOUGANG,4 ROOM,04 TO 06,100.0,Model A,1998,77 years,398000.0,931 HOUGANG STREET 91,"1.3755027000000002, 103.88063594220952",0.090422556,1
931,HOUGANG ST 91,2021-01,HOUGANG,4 ROOM,04 TO 06,100.0,Model A,1998,76 years 06 months,400000.0,931 HOUGANG STREET 91,"1.3755027000000002, 103.88063594220952",0.090422556,1
945,HOUGANG ST 92,2020-06,HOUGANG,5 ROOM,13 TO 15,120.0,Improved,1998,77 years 07 months,530888.0,945 HOUGANG STREET 92,"1.37416615, 103.88106424251473",0.10634596,1
984A,BUANGKOK LINK,2021-01,HOUGANG,4 ROOM,16 TO 18,85.0,Model A2,2004,82 years 03 months,388000.0,984A BUANGKOK LINK,"1.3818423, 103.8816657",0.11440188,1
984A,BUANGKOK LINK,2021-01,HOUGANG,4 ROOM,01 TO 03,85.0,Model A2,2004,82 years 02 months,360000.0,984A BUANGKOK LINK,"1.3818423, 103.8816657",0.11440188,1
985A,BUANGKOK CRES,2020-02,HOUGANG,4 ROOM,16 TO 18,85.0,Model A2,2004,83 years 01 month,368000.0,985A BUANGKOK CRESCENT,"1.38122065, 103.8801741",0.13594261,1
973,HOUGANG ST 91,2020-01,HOUGANG,5 ROOM,07 TO 09,116.0,Improved,1999,78 years 10 months,428000.0,973 HOUGANG STREET 91,"1.3776974499999999, 103.87986710893804",0.14285995,1
973,HOUGANG ST 91,2020-06,HOUGANG,5 ROOM,04 TO 06,116.0,Improved,1999,78 years 07 months,460000.0,973 HOUGANG STREET 91,"1.3776974499999999, 103.87986710893804",0.14285995,1
973,HOUGANG ST 91,2020-10,HOUGANG,5 ROOM,01 TO 03,116.0,Improved,1999,78 years 01 month,430000.0,973 HOUGANG STREET 91,"1.3776974499999999, 103.87986710893804",0.14285995,1
944,HOUGANG ST 92,2020-06,HOUGANG,4 ROOM,07 TO 09,100.0,Model A,1998,77 years 06 months,428000.0,944 HOUGANG STREET 92,"1.37413955, 103.88027349625534",0.14428979,1
944,HOUGANG ST 92,2020-12,HOUGANG,4 ROOM,07 TO 09,102.0,Model A,1998,76 years 11 months,425000.0,944 HOUGANG STREET 92,"1.37413955, 103.88027349625534",0.14428979,1
943,HOUGANG ST 92,2020-06,HOUGANG,4 ROOM,01 TO 03,101.0,Model A,1998,77 years 05 months,362000.0,943 HOUGANG STREET 92,"1.3737514499999999, 103.88036626927129",0.14572679,1
943,HOUGANG ST 92,2020-10,HOUGANG,4 ROOM,04 TO 06,103.0,Model A,1998,77 years,405000.0,943 HOUGANG STREET 92,"1.3737514499999999, 103.88036626927129",0.14572679,1
958,HOUGANG ST 91,2020-01,HOUGANG,5 ROOM,07 TO 09,116.0,Improved,1999,78 years 05 months,475000.0,958 HOUGANG STREET 91,"1.37663105, 103.87983059405063",0.15185085,1
958,HOUGANG ST 91,2020-03,HOUGANG,5 ROOM,01 TO 03,115.0,Improved,1999,78 years 02 months,410000.0,958 HOUGANG STREET 91,"1.37663105, 103.87983059405063",0.15185085,1
958,HOUGANG ST 91,2020-11,HOUGANG,5 ROOM,13 TO 15,116.0,Improved,1999,77 years 07 months,510000.0,958 HOUGANG STREET 91,"1.37663105, 103.87983059405063",0.15185085,1
958,HOUGANG ST 91,2021-01,HOUGANG,5 ROOM,07 TO 09,116.0,Improved,1999,77 years 05 months,500000.0,958 HOUGANG STREET 91,"1.37663105, 103.87983059405063",0.15185085,1
986B,BUANGKOK CRES,2020-06,HOUGANG,2 ROOM,01 TO 03,47.0,Model A,2012,91 years 01 month,235000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-06,HOUGANG,2 ROOM,13 TO 15,47.0,Model A,2012,90 years 11 months,228000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-06,HOUGANG,3 ROOM,01 TO 03,67.0,Model A,2012,91 years 01 month,284000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-07,HOUGANG,3 ROOM,13 TO 15,67.0,Model A,2012,90 years 10 months,325000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-08,HOUGANG,2 ROOM,10 TO 12,47.0,Model A,2012,90 years 10 months,235000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-08,HOUGANG,3 ROOM,10 TO 12,67.0,Model A,2012,90 years 10 months,320000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-08,HOUGANG,3 ROOM,01 TO 03,67.0,Model A,2012,90 years 10 months,284000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-08,HOUGANG,3 ROOM,10 TO 12,67.0,Model A,2012,90 years 09 months,330000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-09,HOUGANG,3 ROOM,04 TO 06,67.0,Model A,2012,90 years 09 months,300000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-10,HOUGANG,2 ROOM,01 TO 03,47.0,Model A,2012,90 years 08 months,233000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2020-11,HOUGANG,3 ROOM,13 TO 15,67.0,Model A,2012,90 years 07 months,330000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
986B,BUANGKOK CRES,2021-02,HOUGANG,3 ROOM,04 TO 06,67.0,Model A,2012,90 years 04 months,310000.0,986B BUANGKOK CRESCENT,"1.3822798500000002, 103.88013707556334",0.15758982,1
925,HOUGANG ST 91,2020-04,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1998,77 years 06 months,488000.0,925 HOUGANG STREET 91,"1.37665835, 103.88259103682658",0.16528955,1
925,HOUGANG ST 91,2020-08,HOUGANG,4 ROOM,04 TO 06,101.0,Model A,1998,77 years 01 month,370000.0,925 HOUGANG STREET 91,"1.37665835, 103.88259103682658",0.16528955,1
986A,BUANGKOK CRES,2020-06,HOUGANG,2 ROOM,13 TO 15,47.0,Model A,2012,91 years 01 month,222000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2020-07,HOUGANG,2 ROOM,04 TO 06,47.0,Model A,2012,90 years 11 months,225000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2020-07,HOUGANG,3 ROOM,01 TO 03,67.0,Model A,2012,90 years 11 months,300000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2020-08,HOUGANG,2 ROOM,10 TO 12,47.0,Model A,2012,90 years 10 months,235000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2020-09,HOUGANG,3 ROOM,07 TO 09,67.0,Model A,2012,90 years 09 months,320000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2020-11,HOUGANG,3 ROOM,10 TO 12,67.0,Model A,2012,90 years 07 months,328000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2020-11,HOUGANG,3 ROOM,13 TO 15,67.0,Model A,2012,90 years 07 months,328000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2021-02,HOUGANG,2 ROOM,13 TO 15,47.0,Model A,2012,90 years 03 months,245000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
986A,BUANGKOK CRES,2021-02,HOUGANG,2 ROOM,10 TO 12,47.0,Model A,2012,90 years 03 months,260000.0,986A BUANGKOK CRESCENT,"1.38191795, 103.87993510000001",0.16836062,1
645,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1987,66 years 01 month,260000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.17302053,1
645,HOUGANG AVE 8,2020-11,HOUGANG,3 ROOM,10 TO 12,69.0,Improved,1987,65 years 04 months,285000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.17302053,1
645,HOUGANG AVE 8,2020-11,HOUGANG,3 ROOM,07 TO 09,69.0,Improved,1987,65 years 03 months,320000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.17302053,1
645,HOUGANG AVE 8,2021-01,HOUGANG,3 ROOM,01 TO 03,60.0,Improved,1987,65 years 01 month,260000.0,645 HOUGANG AVENUE 8,"1.37176845, 103.88144141923571",0.17302053,1
646,HOUGANG AVE 8,2020-09,HOUGANG,EXECUTIVE,01 TO 03,146.0,Maisonette,1987,65 years 05 months,620000.0,646 HOUGANG AVENUE 8,"1.37185055, 103.88075285",0.17335935,1
646,HOUGANG AVE 8,2020-11,HOUGANG,EXECUTIVE,01 TO 03,152.0,Maisonette,1987,65 years 04 months,632000.0,646 HOUGANG AVENUE 8,"1.37185055, 103.88075285",0.17335935,1
975,HOUGANG ST 91,2020-08,HOUGANG,EXECUTIVE,01 TO 03,137.0,Apartment,1999,78 years 04 months,545000.0,975 HOUGANG STREET 91,"1.37720245, 103.8796006831178",0.17380117,1
975,HOUGANG ST 91,2020-12,HOUGANG,EXECUTIVE,07 TO 09,137.0,Apartment,1999,77 years 11 months,618000.0,975 HOUGANG STREET 91,"1.37720245, 103.8796006831178",0.17380117,1
975,HOUGANG ST 91,2021-02,HOUGANG,EXECUTIVE,10 TO 12,137.0,Apartment,1999,77 years 10 months,620000.0,975 HOUGANG STREET 91,"1.37720245, 103.8796006831178",0.17380117,1
985B,BUANGKOK CRES,2020-07,HOUGANG,5 ROOM,04 TO 06,110.0,Improved,2004,82 years 08 months,425000.0,985B BUANGKOK CRESCENT,"1.38126795, 103.87975166015605",0.17625166,1
985B,BUANGKOK CRES,2020-12,HOUGANG,5 ROOM,10 TO 12,110.0,Improved,2004,82 years 04 months,425000.0,985B BUANGKOK CRESCENT,"1.38126795, 103.87975166015605",0.17625166,1
985B,BUANGKOK CRES,2021-02,HOUGANG,5 ROOM,10 TO 12,110.0,Improved,2004,82 years 02 months,495000.0,985B BUANGKOK CRESCENT,"1.38126795, 103.87975166015605",0.17625166,1
644,HOUGANG AVE 8,2020-02,HOUGANG,3 ROOM,07 TO 09,60.0,Improved,1987,65 years 11 months,240000.0,644 HOUGANG AVENUE 8,"1.3714257, 103.88129108283363",0.17975913,1
644,HOUGANG AVE 8,2020-03,HOUGANG,3 ROOM,04 TO 06,60.0,Improved,1987,65 years 10 months,236000.0,644 HOUGANG AVENUE 8,"1.3714257, 103.88129108283363",0.17975913,1
644,HOUGANG AVE 8,2020-09,HOUGANG,3 ROOM,04 TO 06,60.0,Improved,1987,65 years 05 months,250000.0,644 HOUGANG AVENUE 8,"1.3714257, 103.88129108283363",0.17975913,1
647,HOUGANG AVE 8,2020-07,HOUGANG,EXECUTIVE,01 TO 03,146.0,Maisonette,1987,65 years 09 months,648888.0,647 HOUGANG AVENUE 8,"1.37194775, 103.880454",0.18223867,1
643,HOUGANG AVE 8,2020-07,HOUGANG,5 ROOM,04 TO 06,120.0,Improved,1987,66 years 01 month,430000.0,643 HOUGANG AVENUE 8,"1.3715483000000002, 103.88064715",0.18437058,1
662,HOUGANG AVE 4,2020-06,HOUGANG,4 ROOM,10 TO 12,103.0,Model A,1987,66 years 04 months,375000.0,662 HOUGANG AVENUE 4,"1.3744431499999998, 103.88262693445816",0.19176674,1
662,HOUGANG AVE 4,2020-07,HOUGANG,3 ROOM,04 TO 06,74.0,Model A,1987,66 years 01 month,286000.0,662 HOUGANG AVENUE 4,"1.3744431499999998, 103.88262693445816",0.19176674,1
940,HOUGANG ST 92,2020-07,HOUGANG,EXECUTIVE,07 TO 09,141.0,Apartment,1998,76 years 07 months,603000.0,940 HOUGANG STREET 92,"1.3734541500000002, 103.87980498099417",0.19466273,1
940,HOUGANG ST 92,2020-11,HOUGANG,EXECUTIVE,13 TO 15,143.0,Apartment,1998,76 years 03 months,665000.0,940 HOUGANG STREET 92,"1.3734541500000002, 103.87980498099417",0.19466273,1
957,HOUGANG ST 91,2020-12,HOUGANG,5 ROOM,01 TO 03,116.0,Improved,1999,77 years 06 months,470000.0,957 HOUGANG STREET 91,"1.3766170500000001, 103.87940900897058",0.19752403,1
974,HOUGANG ST 91,2020-08,HOUGANG,EXECUTIVE,07 TO 09,137.0,Apartment,1999,78 years 03 months,560000.0,974 HOUGANG STREET 91,"1.3776662499999999, 103.8793728501035",0.19773592,1
974,HOUGANG ST 91,2020-09,HOUGANG,EXECUTIVE,04 TO 06,137.0,Apartment,1999,78 years 03 months,585000.0,974 HOUGANG STREET 91,"1.3776662499999999, 103.8793728501035",0.19773592,1
631,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,04 TO 06,69.0,Improved,1985,64 years 08 months,269888.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.20276077,1
631,HOUGANG AVE 8,2020-11,HOUGANG,3 ROOM,04 TO 06,69.0,Improved,1985,63 years 09 months,288500.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.20276077,1
631,HOUGANG AVE 8,2020-12,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1985,63 years 09 months,272000.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.20276077,1
631,HOUGANG AVE 8,2021-01,HOUGANG,3 ROOM,13 TO 15,69.0,Improved,1985,63 years 08 months,330000.0,631 HOUGANG AVENUE 8,"1.3706907, 103.8815125",0.20276077,1
939,HOUGANG ST 92,2020-05,HOUGANG,5 ROOM,01 TO 03,121.0,Improved,1998,76 years 09 months,430000.0,939 HOUGANG STREET 92,"1.3739532, 103.87956667368238",0.20822638,1
939,HOUGANG ST 92,2020-07,HOUGANG,4 ROOM,10 TO 12,101.0,Model A,1998,76 years 06 months,388000.0,939 HOUGANG STREET 92,"1.3739532, 103.87956667368238",0.20822638,1
939,HOUGANG ST 92,2020-07,HOUGANG,5 ROOM,01 TO 03,122.0,Improved,1998,76 years 06 months,430000.0,939 HOUGANG STREET 92,"1.3739532, 103.87956667368238",0.20822638,1
630,HOUGANG AVE 8,2020-07,HOUGANG,4 ROOM,10 TO 12,84.0,Simplified,1986,65 years 05 months,328000.0,630 HOUGANG AVENUE 8,"1.3702947, 103.88109724856642",0.20929375,1
632,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,01 TO 03,64.0,Simplified,1986,65 years 05 months,258000.0,632 HOUGANG AVENUE 8,"1.3705157, 103.88057469568966",0.21306387,1
632,HOUGANG AVE 8,2020-03,HOUGANG,3 ROOM,01 TO 03,64.0,Simplified,1986,65 years 03 months,258000.0,632 HOUGANG AVENUE 8,"1.3705157, 103.88057469568966",0.21306387,1
632,HOUGANG AVE 8,2020-09,HOUGANG,3 ROOM,01 TO 03,64.0,Simplified,1986,64 years 09 months,266000.0,632 HOUGANG AVENUE 8,"1.3705157, 103.88057469568966",0.21306387,1
641,HOUGANG AVE 8,2020-11,HOUGANG,5 ROOM,10 TO 12,120.0,Improved,1987,65 years 11 months,510000.0,641 HOUGANG AVENUE 8,"1.37127605, 103.8800799543403",0.21815862,1
625,HOUGANG AVE 8,2020-03,HOUGANG,3 ROOM,04 TO 06,64.0,Simplified,1986,64 years 10 months,268000.0,625 HOUGANG AVENUE 8,"1.3700093, 103.88164290824179",0.22372371,1
625,HOUGANG AVE 8,2020-07,HOUGANG,3 ROOM,01 TO 03,64.0,Simplified,1986,64 years 07 months,270000.0,625 HOUGANG AVENUE 8,"1.3700093, 103.88164290824179",0.22372371,1
625,HOUGANG AVE 8,2021-01,HOUGANG,3 ROOM,01 TO 03,70.0,Simplified,1986,64 years,305000.0,625 HOUGANG AVENUE 8,"1.3700093, 103.88164290824179",0.22372371,1
959,HOUGANG ST 91,2020-12,HOUGANG,EXECUTIVE,01 TO 03,137.0,Apartment,1999,77 years 06 months,550000.0,959 HOUGANG STREET 91,"1.3768801, 103.87915027839007",0.2246033,1
629,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,07 TO 09,64.0,Simplified,1986,65 years 06 months,268888.0,629 HOUGANG AVENUE 8,"1.3699149, 103.88067361681814",0.22558887,1
629,HOUGANG AVE 8,2020-08,HOUGANG,4 ROOM,01 TO 03,104.0,Model A,1986,65 years,365000.0,629 HOUGANG AVENUE 8,"1.3699149, 103.88067361681814",0.22558887,1
623,HOUGANG AVE 8,2020-01,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1985,64 years 06 months,260000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.24196872,1
623,HOUGANG AVE 8,2020-08,HOUGANG,3 ROOM,01 TO 03,60.0,Improved,1985,63 years 11 months,228000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.24196872,1
623,HOUGANG AVE 8,2020-08,HOUGANG,3 ROOM,01 TO 03,69.0,Improved,1985,63 years 11 months,330000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.24196872,1
623,HOUGANG AVE 8,2020-09,HOUGANG,3 ROOM,10 TO 12,60.0,Improved,1985,63 years 11 months,285000.0,623 HOUGANG AVENUE 8,"1.3705035, 103.88232260000001",0.24196872,1
624,HOUGANG AVE 8,2020-03,HOUGANG,4 ROOM,01 TO 03,84.0,Simplified,1986,65 years 06 months,318000.0,624 HOUGANG AVENUE 8,"1.3701903, 103.88224869999999",0.24483037,1
639,HOUGANG AVE 8,2020-03,HOUGANG,EXECUTIVE,01 TO 03,154.0,Maisonette,1987,65 years 11 months,765000.0,639 HOUGANG AVENUE 8,"1.3706912, 103.8798438",0.2459085,1
956,HOUGANG ST 91,2020-02,HOUGANG,5 ROOM,04 TO 06,115.0,Improved,1999,78 years 03 months,440000.0,956 HOUGANG STREET 91,"1.3766014, 103.87885942867709",0.2577041,1
956,HOUGANG ST 91,2020-04,HOUGANG,5 ROOM,04 TO 06,115.0,Improved,1999,78 years 02 months,517000.0,956 HOUGANG STREET 91,"1.3766014, 103.87885942867709",0.2577041,1
956,HOUGANG ST 91,2020-04,HOUGANG,5 ROOM,10 TO 12,116.0,Improved,1999,78 years 02 months,482000.0,956 HOUGANG STREET 91,"1.3766014, 103.87885942867709",0.2577041,1
956,HOUGANG ST 91,2020-10,HOUGANG,5 ROOM,07 TO 09,115.0,Improved,1999,77 years 07 months,470000.0,956 HOUGANG STREET 91,"1.3766014, 103.87885942867709",0.2577041,1
956,HOUGANG ST 91,2021-02,HOUGANG,5 ROOM,10 TO 12,116.0,Improved,1999,77 years 04 months,470000.0,956 HOUGANG STREET 91,"1.3766014, 103.87885942867709",0.2577041,1
941,HOUGANG ST 92,2020-06,HOUGANG,5 ROOM,01 TO 03,121.0,Improved,1998,76 years 10 months,430000.0,941 HOUGANG STREET 92,"1.3735613500000001, 103.87909588018286",0.25873807,1
941,HOUGANG ST 92,2020-07,HOUGANG,5 ROOM,13 TO 15,121.0,Improved,1998,76 years 07 months,535888.0,941 HOUGANG STREET 92,"1.3735613500000001, 103.87909588018286",0.25873807,1
941,HOUGANG ST 92,2020-10,HOUGANG,5 ROOM,07 TO 09,121.0,Improved,1998,76 years 05 months,528888.0,941 HOUGANG STREET 92,"1.3735613500000001, 103.87909588018286",0.25873807,1
941,HOUGANG ST 92,2021-01,HOUGANG,4 ROOM,01 TO 03,100.0,Model A,1998,76 years 03 months,368000.0,941 HOUGANG STREET 92,"1.3735613500000001, 103.87909588018286",0.25873807,1
917,HOUGANG AVE 9,2020-11,HOUGANG,5 ROOM,16 TO 18,120.0,Improved,1998,76 years 05 months,530000.0,917 HOUGANG AVENUE 9,"1.3749763499999998, 103.88346410871776",0.27104568,1
918,HOUGANG AVE 9,2020-01,HOUGANG,4 ROOM,04 TO 06,100.0,Model A,1998,77 years 03 months,382000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.27407154,1
918,HOUGANG AVE 9,2020-07,HOUGANG,4 ROOM,10 TO 12,100.0,Model A,1998,76 years 10 months,388000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.27407154,1
918,HOUGANG AVE 9,2020-07,HOUGANG,4 ROOM,07 TO 09,100.0,Model A,1998,76 years 10 months,375000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.27407154,1
918,HOUGANG AVE 9,2021-02,HOUGANG,5 ROOM,13 TO 15,120.0,Improved,1998,76 years 02 months,565000.0,918 HOUGANG AVENUE 9,"1.37538725, 103.88352234905045",0.27407154,1
636,HOUGANG AVE 8,2020-06,HOUGANG,4 ROOM,01 TO 03,84.0,Simplified,1987,66 years 09 months,312000.0,636 HOUGANG AVENUE 8,"1.37061825, 103.87922704127308",0.2929734,1
636,HOUGANG AVE 8,2020-11,HOUGANG,4 ROOM,10 TO 12,84.0,Simplified,1987,66 years 02 months,355000.0,636 HOUGANG AVENUE 8,"1.37061825, 103.87922704127308",0.2929734,1
915,HOUGANG ST 91,2020-01,HOUGANG,5 ROOM,01 TO 03,121.0,Improved,1998,77 years 01 month,455000.0,915 HOUGANG STREET 91,"1.3775594, 103.88381009957338",0.29646513,1
915,HOUGANG ST 91,2020-08,HOUGANG,4 ROOM,13 TO 15,100.0,Model A,1998,76 years 06 months,400000.0,915 HOUGANG STREET 91,"1.3775594, 103.88381009957338",0.29646513,1
912,HOUGANG ST 91,2020-01,HOUGANG,5 ROOM,13 TO 15,121.0,Improved,1997,76 years 10 months,480000.0,912 HOUGANG STREET 91,"1.3786041999999998, 103.88385334765039",0.30113018,1
912,HOUGANG ST 91,2020-09,HOUGANG,5 ROOM,01 TO 03,121.0,Improved,1997,76 years 03 months,465000.0,912 HOUGANG STREET 91,"1.3786041999999998, 103.88385334765039",0.30113018,1
912,HOUGANG ST 91,2021-02,HOUGANG,5 ROOM,07 TO 09,120.0,Improved,1997,75 years 10 months,522000.0,912 HOUGANG STREET 91,"1.3786041999999998, 103.88385334765039",0.30113018,1
621,HOUGANG AVE 8,2020-01,HOUGANG,EXECUTIVE,01 TO 03,147.0,Maisonette,1986,65 years 01 month,605000.0,621 HOUGANG AVENUE 8,"1.3701116500000001, 103.88311920026007",0.30645084,1
415B,FERNVALE LINK,2020-01,SENGKANG,5 ROOM,16 TO 18,113.0,Improved,2016,95 years,572000.0,415B FERNVALE LINK,"1.3888403999999999, 103.8801156376457",0.30770084,1
415B,FERNVALE LINK,2020-03,SENGKANG,4 ROOM,16 TO 18,93.0,Model A,2016,94 years 10 months,468888.0,415B FERNVALE LINK,"1.3888403999999999, 103.8801156376457",0.30770084,1
415B,FERNVALE LINK,2020-03,SENGKANG,5 ROOM,16 TO 18,113.0,Improved,2016,94 years 10 months,598000.0,415B FERNVALE LINK,"1.3888403999999999, 103.8801156376457",0.30770084,1
415B,FERNVALE LINK,2020-06,SENGKANG,4 ROOM,13 TO 15,93.0,Model A,2016,94 years 08 months,440000.0,415B FERNVALE LINK,"1.3888403999999999, 103.8801156376457",0.30770084,1
