block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance,rank
109,JURONG EAST ST 13,2020-03,JURONG EAST,5 ROOM,13 TO 15,120.0,Improved,1981,60 years 09 months,495000.0,109 JURONG EAST STREET 13,"1.3383422500000002, 103.73594105233462",0.075254686,1
109,JURONG EAST ST 13,2020-08,JURONG EAST,5 ROOM,19 TO 21,120.0,Improved,1981,60 years 03 months,540000.0,109 JURONG EAST STREET 13,"1.3383422500000002, 103.73594105233462",0.075254686,1
109,JURONG EAST ST 13,2020-10,JURONG EAST,5 ROOM,07 TO 09,120.0,Improved,1981,60 years 02 months,502000.0,109 JURONG EAST STREET 13,"1.3383422500000002, 103.73594105233462",0.075254686,1
110,JURONG EAST ST 13,2020-08,JURONG EAST,3 ROOM,01 TO 03,68.0,New Generation,1982,60 years 07 months,275000.0,110 JURONG EAST STREET 13,"1.33891955, 103.73689033497024",0.08049722,1
110,JURONG EAST ST 13,2020-09,JURONG EAST,3 ROOM,07 TO 09,68.0,New Generation,1982,60 years 06 months,280000.0,110 JURONG EAST STREET 13,"1.33891955, 103.73689033497024",0.08049722,1
110,JURONG EAST ST 13,2020-10,JURONG EAST,3 ROOM,04 TO 06,68.0,New Generation,1982,60 years 05 months,280000.0,110 JURONG EAST STREET 13,"1.33891955, 103.73689033497024",0.08049722,1
110,JURONG EAST ST 13,2020-11,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1982,60 years 05 months,328000.0,110 JURONG EAST STREET 13,"1.33891955, 103.73689033497024",0.08049722,1
110,JURONG EAST ST 13,2021-02,JURONG EAST,3 ROOM,16 TO 18,83.0,New Generation,1982,60 years 02 months,388888.0,110 JURONG EAST STREET 13,"1.33891955, 103.73689033497024",0.08049722,1
112,JURONG EAST ST 13,2020-09,JURONG EAST,4 ROOM,04 TO 06,90.0,New Generation,1981,59 years 11 months,410000.0,112 JURONG EAST STREET 13,"1.3393285000000001, 103.73609809594677",0.084887534,1
112,JURONG EAST ST 13,2020-10,JURONG EAST,4 ROOM,04 TO 06,92.0,New Generation,1981,59 years 09 months,400000.0,112 JURONG EAST STREET 13,"1.3393285000000001, 103.73609809594677",0.084887534,1
108,JURONG EAST ST 13,2020-02,JURONG EAST,4 ROOM,07 TO 09,92.0,New Generation,1982,61 years 08 months,406000.0,108 JURONG EAST STREET 13,"1.33836695, 103.7372831644748",0.10468517,1
108,JURONG EAST ST 13,2020-10,JURONG EAST,4 ROOM,01 TO 03,90.0,New Generation,1982,61 years,390000.0,108 JURONG EAST STREET 13,"1.33836695, 103.7372831644748",0.10468517,1
108,JURONG EAST ST 13,2020-12,JURONG EAST,4 ROOM,04 TO 06,90.0,New Generation,1982,60 years 11 months,415000.0,108 JURONG EAST STREET 13,"1.33836695, 103.7372831644748",0.10468517,1
111,JURONG EAST ST 13,2020-10,JURONG EAST,5 ROOM,16 TO 18,120.0,Improved,1981,60 years,580000.0,111 JURONG EAST STREET 13,"1.3387726500000001, 103.73564735233461",0.1081767,1
221A,JURONG EAST ST 21,2020-01,JURONG EAST,4 ROOM,07 TO 09,91.0,New Generation,1984,63 years 08 months,398000.0,221A JURONG EAST STREET 21,"1.3406771499999999, 103.73635123490925",0.11127352,1
223A,JURONG EAST ST 21,2020-10,JURONG EAST,EXECUTIVE,01 TO 03,162.0,Apartment,1993,71 years 08 months,630000.0,223A JURONG EAST STREET 21,"1.3413165999999999, 103.73675820010926",0.13195984,1
223A,JURONG EAST ST 21,2021-01,JURONG EAST,5 ROOM,10 TO 12,135.0,Model A,1993,71 years 05 months,618888.0,223A JURONG EAST STREET 21,"1.3413165999999999, 103.73675820010926",0.13195984,1
115,JURONG EAST ST 13,2020-03,JURONG EAST,3 ROOM,04 TO 06,82.0,New Generation,1981,60 years 02 months,320000.0,115 JURONG EAST STREET 13,"1.33980765, 103.73555497186109",0.13303761,1
115,JURONG EAST ST 13,2021-01,JURONG EAST,4 ROOM,04 TO 06,94.0,New Generation,1981,59 years 05 months,450000.0,115 JURONG EAST STREET 13,"1.33980765, 103.73555497186109",0.13303761,1
115,JURONG EAST ST 13,2021-01,JURONG EAST,4 ROOM,01 TO 03,94.0,New Generation,1981,59 years 05 months,420666.0,115 JURONG EAST STREET 13,"1.33980765, 103.73555497186109",0.13303761,1
224,JURONG EAST ST 21,2020-09,JURONG EAST,4 ROOM,10 TO 12,92.0,New Generation,1984,63 years 01 month,425000.0,224 JURONG EAST STREET 21,"1.3416738000000001, 103.73675275011195",0.14095414,1
226,JURONG EAST ST 21,2020-09,JURONG EAST,5 ROOM,19 TO 21,120.0,Improved,1982,61 years 04 months,560000.0,226 JURONG EAST STREET 21,"1.3413884, 103.73586325224093",0.14519379,1
226,JURONG EAST ST 21,2021-02,JURONG EAST,5 ROOM,13 TO 15,120.0,Improved,1982,60 years 10 months,590000.0,226 JURONG EAST STREET 21,"1.3413884, 103.73586325224093",0.14519379,1
227,JURONG EAST ST 21,2020-01,JURONG EAST,5 ROOM,10 TO 12,120.0,Improved,1984,63 years 05 months,535000.0,227 JURONG EAST STREET 21,"1.3418045, 103.73611022784092",0.14556822,1
227,JURONG EAST ST 21,2020-07,JURONG EAST,5 ROOM,04 TO 06,120.0,Improved,1984,62 years 11 months,510000.0,227 JURONG EAST STREET 21,"1.3418045, 103.73611022784092",0.14556822,1
225A,JURONG EAST ST 21,2020-07,JURONG EAST,3 ROOM,04 TO 06,67.0,New Generation,1984,63 years 04 months,256000.0,225A JURONG EAST STREET 21,"1.34203035, 103.73682432904411",0.15207757,1
225A,JURONG EAST ST 21,2020-08,JURONG EAST,3 ROOM,10 TO 12,67.0,New Generation,1984,63 years 03 months,288000.0,225A JURONG EAST STREET 21,"1.34203035, 103.73682432904411",0.15207757,1
225A,JURONG EAST ST 21,2021-01,JURONG EAST,3 ROOM,07 TO 09,67.0,New Generation,1984,62 years 10 months,300000.0,225A JURONG EAST STREET 21,"1.34203035, 103.73682432904411",0.15207757,1
219A,JURONG EAST ST 21,2020-07,JURONG EAST,5 ROOM,16 TO 18,118.0,Improved,1985,63 years 10 months,560000.0,219A JURONG EAST STREET 21,"1.3405954, 103.7374613210572",0.15592161,1
219A,JURONG EAST ST 21,2020-11,JURONG EAST,5 ROOM,04 TO 06,118.0,Improved,1985,63 years 07 months,523000.0,219A JURONG EAST STREET 21,"1.3405954, 103.7374613210572",0.15592161,1
219A,JURONG EAST ST 21,2021-02,JURONG EAST,5 ROOM,07 TO 09,118.0,Improved,1985,63 years 04 months,550000.0,219A JURONG EAST STREET 21,"1.3405954, 103.7374613210572",0.15592161,1
228,JURONG EAST ST 21,2020-03,JURONG EAST,5 ROOM,10 TO 12,122.0,Improved,1987,66 years 08 months,550000.0,228 JURONG EAST STREET 21,"1.34236075, 103.73622527307609",0.15721223,1
228,JURONG EAST ST 21,2020-12,JURONG EAST,4 ROOM,04 TO 06,86.0,Simplified,1987,65 years 11 months,395000.0,228 JURONG EAST STREET 21,"1.34236075, 103.73622527307609",0.15721223,1
228,JURONG EAST ST 21,2021-02,JURONG EAST,5 ROOM,07 TO 09,122.0,Improved,1987,65 years 09 months,563000.0,228 JURONG EAST STREET 21,"1.34236075, 103.73622527307609",0.15721223,1
113,JURONG EAST ST 13,2020-09,JURONG EAST,4 ROOM,04 TO 06,94.0,New Generation,1981,59 years 10 months,400000.0,113 JURONG EAST STREET 13,"1.3388458, 103.73506663576136",0.16643153,1
113,JURONG EAST ST 13,2020-11,JURONG EAST,4 ROOM,04 TO 06,90.0,New Generation,1981,59 years 08 months,373000.0,113 JURONG EAST STREET 13,"1.3388458, 103.73506663576136",0.16643153,1
113,JURONG EAST ST 13,2021-02,JURONG EAST,4 ROOM,07 TO 09,90.0,New Generation,1981,59 years 05 months,425000.0,113 JURONG EAST STREET 13,"1.3388458, 103.73506663576136",0.16643153,1
220,JURONG EAST ST 21,2020-01,JURONG EAST,5 ROOM,07 TO 09,118.0,Improved,1985,64 years 03 months,480000.0,220 JURONG EAST STREET 21,"1.3410506, 103.73750151377817",0.1675875,1
220,JURONG EAST ST 21,2020-07,JURONG EAST,5 ROOM,04 TO 06,118.0,Improved,1985,63 years 09 months,468000.0,220 JURONG EAST STREET 21,"1.3410506, 103.73750151377817",0.1675875,1
216,JURONG EAST ST 21,2020-09,JURONG EAST,EXECUTIVE,04 TO 06,148.0,Maisonette,1985,63 years 09 months,615000.0,216 JURONG EAST STREET 21,"1.33949615, 103.73785534208628",0.17488262,1
216,JURONG EAST ST 21,2020-12,JURONG EAST,EXECUTIVE,04 TO 06,142.0,Apartment,1985,63 years 07 months,630000.0,216 JURONG EAST STREET 21,"1.33949615, 103.73785534208628",0.17488262,1
230,JURONG EAST ST 21,2020-01,JURONG EAST,5 ROOM,22 TO 24,120.0,Improved,1981,60 years 08 months,550000.0,230 JURONG EAST STREET 21,"1.3415132, 103.73753324026549",0.17892346,1
230,JURONG EAST ST 21,2020-02,JURONG EAST,5 ROOM,07 TO 09,120.0,Improved,1981,60 years 07 months,508000.0,230 JURONG EAST STREET 21,"1.3415132, 103.73753324026549",0.17892346,1
230,JURONG EAST ST 21,2020-03,JURONG EAST,5 ROOM,01 TO 03,120.0,Improved,1981,60 years 06 months,431500.0,230 JURONG EAST STREET 21,"1.3415132, 103.73753324026549",0.17892346,1
230,JURONG EAST ST 21,2020-06,JURONG EAST,5 ROOM,04 TO 06,120.0,Improved,1981,60 years 05 months,445000.0,230 JURONG EAST STREET 21,"1.3415132, 103.73753324026549",0.17892346,1
230,JURONG EAST ST 21,2020-08,JURONG EAST,5 ROOM,01 TO 03,120.0,Improved,1981,60 years 01 month,435000.0,230 JURONG EAST STREET 21,"1.3415132, 103.73753324026549",0.17892346,1
230,JURONG EAST ST 21,2020-11,JURONG EAST,5 ROOM,22 TO 24,120.0,Improved,1981,59 years 10 months,545000.0,230 JURONG EAST STREET 21,"1.3415132, 103.73753324026549",0.17892346,1
103,JURONG EAST ST 13,2020-03,JURONG EAST,5 ROOM,16 TO 18,120.0,Improved,1982,61 years 08 months,620000.0,103 JURONG EAST STREET 13,"1.3366757, 103.73807607867693",0.18038239,1
103,JURONG EAST ST 13,2020-12,JURONG EAST,5 ROOM,01 TO 03,120.0,Improved,1982,60 years 11 months,495000.0,103 JURONG EAST STREET 13,"1.3366757, 103.73807607867693",0.18038239,1
218,JURONG EAST ST 21,2020-07,JURONG EAST,4 ROOM,01 TO 03,91.0,New Generation,1984,63 years 05 months,345000.0,218 JURONG EAST STREET 21,"1.3403081499999998, 103.7379446098272",0.19401996,1
218,JURONG EAST ST 21,2020-08,JURONG EAST,4 ROOM,04 TO 06,91.0,New Generation,1984,63 years 03 months,380000.0,218 JURONG EAST STREET 21,"1.3403081499999998, 103.7379446098272",0.19401996,1
218,JURONG EAST ST 21,2020-12,JURONG EAST,4 ROOM,01 TO 03,91.0,New Generation,1984,63 years,368000.0,218 JURONG EAST STREET 21,"1.3403081499999998, 103.7379446098272",0.19401996,1
217,JURONG EAST ST 21,2020-03,JURONG EAST,4 ROOM,01 TO 03,91.0,New Generation,1985,63 years 11 months,355000.0,217 JURONG EAST STREET 21,"1.3399488499999999, 103.73806988533556",0.20156571,1
253,JURONG EAST ST 24,2020-01,JURONG EAST,3 ROOM,01 TO 03,67.0,New Generation,1985,64 years 05 months,260000.0,253 JURONG EAST STREET 24,"1.3436214, 103.7372137",0.20647204,1
253,JURONG EAST ST 24,2020-06,JURONG EAST,3 ROOM,01 TO 03,68.0,New Generation,1985,64 years 01 month,260000.0,253 JURONG EAST STREET 24,"1.3436214, 103.7372137",0.20647204,1
253,JURONG EAST ST 24,2020-07,JURONG EAST,3 ROOM,04 TO 06,71.0,New Generation,1985,63 years 11 months,270000.0,253 JURONG EAST STREET 24,"1.3436214, 103.7372137",0.20647204,1
116,JURONG EAST ST 13,2020-03,JURONG EAST,5 ROOM,04 TO 06,120.0,Improved,1981,60 years 08 months,515000.0,116 JURONG EAST STREET 13,"1.3396951000000001, 103.73470587926155",0.21210213,1
116,JURONG EAST ST 13,2020-12,JURONG EAST,5 ROOM,01 TO 03,120.0,Improved,1981,60 years 01 month,500000.0,116 JURONG EAST STREET 13,"1.3396951000000001, 103.73470587926155",0.21210213,1
116,JURONG EAST ST 13,2020-12,JURONG EAST,5 ROOM,10 TO 12,120.0,Improved,1981,59 years 11 months,580000.0,116 JURONG EAST STREET 13,"1.3396951000000001, 103.73470587926155",0.21210213,1
231,JURONG EAST ST 21,2020-03,JURONG EAST,3 ROOM,10 TO 12,67.0,New Generation,1981,60 years 03 months,285000.0,231 JURONG EAST STREET 21,"1.34116175, 103.73804172600836",0.21540077,1
231,JURONG EAST ST 21,2020-06,JURONG EAST,3 ROOM,07 TO 09,82.0,New Generation,1981,60 years 03 months,290000.0,231 JURONG EAST STREET 21,"1.34116175, 103.73804172600836",0.21540077,1
231,JURONG EAST ST 21,2021-01,JURONG EAST,4 ROOM,01 TO 03,91.0,New Generation,1981,59 years 06 months,373000.0,231 JURONG EAST STREET 21,"1.34116175, 103.73804172600836",0.21540077,1
229,JURONG EAST ST 21,2020-09,JURONG EAST,3 ROOM,01 TO 03,82.0,New Generation,1981,59 years 09 months,285000.0,229 JURONG EAST STREET 21,"1.34181485, 103.73802732225093",0.2244796,1
229,JURONG EAST ST 21,2020-12,JURONG EAST,3 ROOM,07 TO 09,67.0,New Generation,1981,59 years 07 months,325000.0,229 JURONG EAST STREET 21,"1.34181485, 103.73802732225093",0.2244796,1
229,JURONG EAST ST 21,2021-01,JURONG EAST,3 ROOM,04 TO 06,67.0,New Generation,1981,59 years 06 months,295000.0,229 JURONG EAST STREET 21,"1.34181485, 103.73802732225093",0.2244796,1
215A,JURONG EAST ST 21,2020-10,JURONG EAST,4 ROOM,04 TO 06,93.0,New Generation,1984,63 years 01 month,390000.0,215A JURONG EAST STREET 21,"1.33951655, 103.73834714941052",0.22516097,1
252,JURONG EAST ST 24,2020-07,JURONG EAST,3 ROOM,01 TO 03,71.0,New Generation,1985,64 years,266000.0,252 JURONG EAST STREET 24,"1.3431921999999998, 103.73772937848912",0.22684559,1
252,JURONG EAST ST 24,2020-08,JURONG EAST,3 ROOM,04 TO 06,71.0,New Generation,1985,63 years 10 months,245000.0,252 JURONG EAST STREET 24,"1.3431921999999998, 103.73772937848912",0.22684559,1
252,JURONG EAST ST 24,2021-02,JURONG EAST,3 ROOM,01 TO 03,67.0,New Generation,1985,63 years 05 months,272000.0,252 JURONG EAST STREET 24,"1.3431921999999998, 103.73772937848912",0.22684559,1
252,JURONG EAST ST 24,2021-02,JURONG EAST,3 ROOM,04 TO 06,67.0,New Generation,1985,63 years 04 months,290000.0,252 JURONG EAST STREET 24,"1.3431921999999998, 103.73772937848912",0.22684559,1
102,JURONG EAST ST 13,2020-07,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1982,60 years 10 months,323000.0,102 JURONG EAST STREET 13,"1.3361294, 103.73852089719625",0.22996607,1
102,JURONG EAST ST 13,2020-08,JURONG EAST,3 ROOM,04 TO 06,68.0,New Generation,1982,60 years 09 months,328000.0,102 JURONG EAST STREET 13,"1.3361294, 103.73852089719625",0.22996607,1
102,JURONG EAST ST 13,2020-08,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1982,60 years 09 months,320000.0,102 JURONG EAST STREET 13,"1.3361294, 103.73852089719625",0.22996607,1
215,JURONG EAST ST 21,2020-06,JURONG EAST,3 ROOM,04 TO 06,67.0,New Generation,1984,63 years 06 months,258000.0,215 JURONG EAST STREET 21,"1.3399805, 103.738516",0.24711132,1
210,JURONG EAST ST 21,2020-06,JURONG EAST,3 ROOM,07 TO 09,82.0,New Generation,1983,62 years 01 month,320000.0,210 JURONG EAST STREET 21,"1.3388442999999999, 103.7386223206374",0.24896988,1
210,JURONG EAST ST 21,2020-09,JURONG EAST,3 ROOM,07 TO 09,67.0,New Generation,1983,61 years 09 months,285000.0,210 JURONG EAST STREET 21,"1.3388442999999999, 103.7386223206374",0.24896988,1
210,JURONG EAST ST 21,2021-02,JURONG EAST,3 ROOM,01 TO 03,67.0,New Generation,1983,61 years 05 months,290000.0,210 JURONG EAST STREET 21,"1.3388442999999999, 103.7386223206374",0.24896988,1
305,JURONG EAST ST 32,2020-01,JURONG EAST,4 ROOM,10 TO 12,98.0,New Generation,1983,62 years,390000.0,305 JURONG EAST STREET 32,"1.3453751999999999, 103.73537288431373",0.26373693,1
305,JURONG EAST ST 32,2020-03,JURONG EAST,5 ROOM,07 TO 09,126.0,Improved,1983,61 years 10 months,445000.0,305 JURONG EAST STREET 32,"1.3453751999999999, 103.73537288431373",0.26373693,1
305,JURONG EAST ST 32,2020-11,JURONG EAST,5 ROOM,07 TO 09,121.0,Improved,1983,61 years 02 months,478000.0,305 JURONG EAST STREET 32,"1.3453751999999999, 103.73537288431373",0.26373693,1
305,JURONG EAST ST 32,2021-01,JURONG EAST,5 ROOM,10 TO 12,121.0,Improved,1983,61 years,485000.0,305 JURONG EAST STREET 32,"1.3453751999999999, 103.73537288431373",0.26373693,1
306,JURONG EAST ST 32,2020-02,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1983,62 years 07 months,260000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
306,JURONG EAST ST 32,2020-03,JURONG EAST,3 ROOM,04 TO 06,68.0,New Generation,1983,62 years 07 months,255000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
306,JURONG EAST ST 32,2020-03,JURONG EAST,3 ROOM,07 TO 09,68.0,New Generation,1983,62 years 06 months,269000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
306,JURONG EAST ST 32,2020-08,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1983,62 years 01 month,310000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
306,JURONG EAST ST 32,2020-10,JURONG EAST,3 ROOM,04 TO 06,68.0,New Generation,1983,61 years 11 months,280000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
306,JURONG EAST ST 32,2020-12,JURONG EAST,4 ROOM,10 TO 12,94.0,New Generation,1983,61 years 10 months,421000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
306,JURONG EAST ST 32,2021-01,JURONG EAST,3 ROOM,01 TO 03,70.0,New Generation,1983,61 years 10 months,275000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
306,JURONG EAST ST 32,2021-02,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1983,61 years 08 months,305000.0,306 JURONG EAST STREET 32,"1.34590695, 103.73561353446439",0.26575473,1
256,JURONG EAST ST 24,2020-11,JURONG EAST,3 ROOM,01 TO 03,67.0,New Generation,1985,63 years 08 months,295000.0,256 JURONG EAST STREET 24,"1.3439551, 103.7382039",0.27702883,1
307,JURONG EAST ST 32,2020-11,JURONG EAST,5 ROOM,04 TO 06,133.0,Model A,1984,63 years,460000.0,307 JURONG EAST STREET 32,"1.34661835, 103.73517513966897",0.30300853,1
101,JURONG EAST ST 13,2020-08,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1983,61 years 07 months,355000.0,101 JURONG EAST STREET 13,"1.3369092, 103.7391973872176",0.30520147,1
101,JURONG EAST ST 13,2020-09,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1983,61 years 06 months,333000.0,101 JURONG EAST STREET 13,"1.3369092, 103.7391973872176",0.30520147,1
101,JURONG EAST ST 13,2020-10,JURONG EAST,3 ROOM,04 TO 06,68.0,New Generation,1983,61 years 05 months,305000.0,101 JURONG EAST STREET 13,"1.3369092, 103.7391973872176",0.30520147,1
101,JURONG EAST ST 13,2021-02,JURONG EAST,4 ROOM,04 TO 06,95.0,New Generation,1983,61 years 01 month,400000.0,101 JURONG EAST STREET 13,"1.3369092, 103.7391973872176",0.30520147,1
247,JURONG EAST ST 24,2020-06,JURONG EAST,3 ROOM,04 TO 06,68.0,New Generation,1983,62 years 01 month,258000.0,247 JURONG EAST STREET 24,"1.3420966, 103.73900814937159",0.3202888,1
247,JURONG EAST ST 24,2020-09,JURONG EAST,3 ROOM,10 TO 12,68.0,New Generation,1983,61 years 09 months,278000.0,247 JURONG EAST STREET 24,"1.3420966, 103.73900814937159",0.3202888,1
308,JURONG EAST ST 32,2020-01,JURONG EAST,4 ROOM,10 TO 12,108.0,Model A,1984,63 years 02 months,375000.0,308 JURONG EAST STREET 32,"1.3470862499999998, 103.7349291581063",0.32727024,1
308,JURONG EAST ST 32,2020-02,JURONG EAST,4 ROOM,01 TO 03,104.0,Model A,1984,63 years 02 months,320000.0,308 JURONG EAST STREET 32,"1.3470862499999998, 103.7349291581063",0.32727024,1
308,JURONG EAST ST 32,2020-07,JURONG EAST,3 ROOM,13 TO 15,74.0,Model A,1984,62 years 08 months,286000.0,308 JURONG EAST STREET 32,"1.3470862499999998, 103.7349291581063",0.32727024,1
308,JURONG EAST ST 32,2020-08,JURONG EAST,3 ROOM,10 TO 12,74.0,Model A,1984,62 years 08 months,286888.0,308 JURONG EAST STREET 32,"1.3470862499999998, 103.7349291581063",0.32727024,1
308,JURONG EAST ST 32,2020-08,JURONG EAST,3 ROOM,01 TO 03,74.0,Model A,1984,62 years 07 months,275000.0,308 JURONG EAST STREET 32,"1.3470862499999998, 103.7349291581063",0.32727024,1
214,JURONG EAST ST 21,2020-08,JURONG EAST,3 ROOM,07 TO 09,67.0,New Generation,1983,61 years 08 months,280000.0,214 JURONG EAST STREET 21,"1.33911325, 103.73934003686517",0.3282765,1
214,JURONG EAST ST 21,2020-10,JURONG EAST,3 ROOM,04 TO 06,67.0,New Generation,1983,61 years 05 months,286000.0,214 JURONG EAST STREET 21,"1.33911325, 103.73934003686517",0.3282765,1
249,JURONG EAST ST 24,2020-07,JURONG EAST,3 ROOM,10 TO 12,67.0,New Generation,1983,61 years 06 months,278000.0,249 JURONG EAST STREET 24,"1.3425048, 103.7393663",0.360692,1
249,JURONG EAST ST 24,2020-09,JURONG EAST,3 ROOM,04 TO 06,67.0,New Generation,1983,61 years 05 months,282000.0,249 JURONG EAST STREET 24,"1.3425048, 103.7393663",0.360692,1
249,JURONG EAST ST 24,2020-09,JURONG EAST,3 ROOM,04 TO 06,67.0,New Generation,1983,61 years 04 months,275000.0,249 JURONG EAST STREET 24,"1.3425048, 103.7393663",0.360692,1
249,JURONG EAST ST 24,2020-10,JURONG EAST,3 ROOM,01 TO 03,67.0,New Generation,1983,61 years 03 months,272000.0,249 JURONG EAST STREET 24,"1.3425048, 103.7393663",0.360692,1
209,JURONG EAST ST 21,2020-10,JURONG EAST,5 ROOM,04 TO 06,122.0,Improved,1983,61 years 06 months,530000.0,209 JURONG EAST STREET 21,"1.3379530000000002, 103.73968828718378",0.36166432,1
209,JURONG EAST ST 21,2020-12,JURONG EAST,4 ROOM,07 TO 09,98.0,New Generation,1983,61 years 04 months,400000.0,209 JURONG EAST STREET 21,"1.3379530000000002, 103.73968828718378",0.36166432,1
209,JURONG EAST ST 21,2020-12,JURONG EAST,5 ROOM,07 TO 09,122.0,Improved,1983,61 years 04 months,535000.0,209 JURONG EAST STREET 21,"1.3379530000000002, 103.73968828718378",0.36166432,1
258,JURONG EAST ST 24,2020-05,JURONG EAST,5 ROOM,01 TO 03,121.0,Improved,1983,61 years 10 months,420000.0,258 JURONG EAST STREET 24,"1.3437483000000001, 103.73926235277892",0.36642134,1
258,JURONG EAST ST 24,2020-07,JURONG EAST,5 ROOM,01 TO 03,121.0,Improved,1983,61 years 08 months,428000.0,258 JURONG EAST STREET 24,"1.3437483000000001, 103.73926235277892",0.36642134,1
258,JURONG EAST ST 24,2020-07,JURONG EAST,5 ROOM,07 TO 09,121.0,Improved,1983,61 years 07 months,453333.0,258 JURONG EAST STREET 24,"1.3437483000000001, 103.73926235277892",0.36642134,1
258,JURONG EAST ST 24,2020-09,JURONG EAST,5 ROOM,04 TO 06,121.0,Improved,1983,61 years 06 months,465000.0,258 JURONG EAST STREET 24,"1.3437483000000001, 103.73926235277892",0.36642134,1
258,JURONG EAST ST 24,2020-10,JURONG EAST,5 ROOM,07 TO 09,121.0,Improved,1983,61 years 04 months,478000.0,258 JURONG EAST STREET 24,"1.3437483000000001, 103.73926235277892",0.36642134,1
258,JURONG EAST ST 24,2021-02,JURONG EAST,5 ROOM,04 TO 06,121.0,Improved,1983,61 years,455000.0,258 JURONG EAST STREET 24,"1.3437483000000001, 103.73926235277892",0.36642134,1
251,JURONG EAST ST 24,2020-06,JURONG EAST,4 ROOM,07 TO 09,90.0,New Generation,1982,61 years 02 months,375000.0,251 JURONG EAST STREET 24,"1.3430193, 103.7393770196602",0.3679345,1
251,JURONG EAST ST 24,2020-09,JURONG EAST,4 ROOM,01 TO 03,90.0,New Generation,1982,60 years 11 months,335000.0,251 JURONG EAST STREET 24,"1.3430193, 103.7393770196602",0.3679345,1
309,JURONG EAST ST 32,2020-01,JURONG EAST,4 ROOM,07 TO 09,105.0,Model A,1983,62 years 06 months,355000.0,309 JURONG EAST STREET 32,"1.3476173999999999, 103.73435991274481",0.375003,1
309,JURONG EAST ST 32,2020-01,JURONG EAST,5 ROOM,04 TO 06,132.0,Model A,1983,62 years 06 months,458000.0,309 JURONG EAST STREET 32,"1.3476173999999999, 103.73435991274481",0.375003,1
309,JURONG EAST ST 32,2020-08,JURONG EAST,5 ROOM,04 TO 06,132.0,Model A,1983,61 years 11 months,380000.0,309 JURONG EAST STREET 32,"1.3476173999999999, 103.73435991274481",0.375003,1
309,JURONG EAST ST 32,2020-08,JURONG EAST,5 ROOM,01 TO 03,131.0,Model A,1983,61 years 11 months,440000.0,309 JURONG EAST STREET 32,"1.3476173999999999, 103.73435991274481",0.375003,1
309,JURONG EAST ST 32,2020-12,JURONG EAST,5 ROOM,10 TO 12,131.0,Model A,1983,61 years 07 months,468000.0,309 JURONG EAST STREET 32,"1.3476173999999999, 103.73435991274481",0.375003,1
213,JURONG EAST ST 21,2020-06,JURONG EAST,5 ROOM,19 TO 21,120.0,Improved,1982,61 years 04 months,540000.0,213 JURONG EAST STREET 21,"1.33901505, 103.73980477935385",0.3784771,1
213,JURONG EAST ST 21,2020-11,JURONG EAST,5 ROOM,07 TO 09,120.0,Improved,1982,60 years 11 months,527888.0,213 JURONG EAST STREET 21,"1.33901505, 103.73980477935385",0.3784771,1
213,JURONG EAST ST 21,2020-11,JURONG EAST,5 ROOM,04 TO 06,120.0,Improved,1982,60 years 10 months,525000.0,213 JURONG EAST STREET 21,"1.33901505, 103.73980477935385",0.3784771,1
213,JURONG EAST ST 21,2020-12,JURONG EAST,5 ROOM,22 TO 24,120.0,Improved,1982,60 years 10 months,580000.0,213 JURONG EAST STREET 21,"1.33901505, 103.73980477935385",0.3784771,1
213,JURONG EAST ST 21,2021-01,JURONG EAST,5 ROOM,19 TO 21,120.0,Improved,1982,60 years 09 months,550000.0,213 JURONG EAST STREET 21,"1.33901505, 103.73980477935385",0.3784771,1
24,TEBAN GDNS RD,2020-02,JURONG EAST,4 ROOM,01 TO 03,107.0,Model A,1993,72 years 05 months,348000.0,24 TEBAN GARDENS ROAD,"1.3234712000000002, 103.7379560121427",0.38205597,1
24,TEBAN GDNS RD,2020-05,JURONG EAST,4 ROOM,04 TO 06,107.0,Model A,1993,72 years 03 months,348000.0,24 TEBAN GARDENS ROAD,"1.3234712000000002, 103.7379560121427",0.38205597,1
24,TEBAN GDNS RD,2020-06,JURONG EAST,4 ROOM,04 TO 06,99.0,Model A,1993,72 years 04 months,350000.0,24 TEBAN GARDENS ROAD,"1.3234712000000002, 103.7379560121427",0.38205597,1
